period,duoarea,area-name,product,product-name,process,process-name,series,series-description,value,units
2022-09,SND,USA-ND,EPG0,Natural Gas,VG9,Extraction Loss,NA1150_SND_2,North Dakota Natural Gas Plant Liquids Production (Million Cubic Feet),18070,MMCF
2022-09,SCO,COLORADO,EPG0,Natural Gas,VG9,Extraction Loss,NA1150_SCO_2,Colorado Natural Gas Plant Liquids Production (Million Cubic Feet),17294,MMCF
2022-09,SCA,CALIFORNIA,EPG0,Natural Gas,VG9,Extraction Loss,NA1150_SCA_2,California Natural Gas Plant Liquids Production (Million Cubic Feet),584,MMCF
2022-09,SKY,USA-KY,EPG0,Natural Gas,VG9,Extraction Loss,NA1150_SKY_2,Kentucky Natural Gas Plant Liquids Production (Million Cubic Feet),433,MMCF
2022-09,SAL,USA-AL,EPG0,Natural Gas,VG9,Extraction Loss,NA1150_SAL_2,Alabama Natural Gas Plant Liquids Production (Million Cubic Feet),167,MMCF
2022-09,SUT,USA-UT,EPG0,Natural Gas,VG9,Extraction Loss,NA1150_SUT_2,Utah Natural Gas Plant Liquids Production (Million Cubic Feet),885,MMCF
2022-09,SKS,USA-KS,EPG0,Natural Gas,VG9,Extraction Loss,NA1150_SKS_2,Kansas Natural Gas Plant Liquids Production (Million Cubic Feet),1166,MMCF
2022-09,SAR,USA-AR,EPG0,Natural Gas,VG9,Extraction Loss,NA1150_SAR_2,Arkansas Natural Gas Plant Liquids Production (Million Cubic Feet),15,MMCF
2022-09,SWV,USA-WV,EPG0,Natural Gas,VG9,Extraction Loss,NA1150_SWV_2,West Virginia Natural Gas Plant Liquids Production (Million Cubic Feet),19084,MMCF
2022-09,SMT,USA-MT,EPG0,Natural Gas,VG9,Extraction Loss,NA1150_SMT_2,Montana Natural Gas Plant Liquids Production (Million Cubic Feet),103,MMCF
2022-09,SIL,USA-IL,EPG0,Natural Gas,VG9,Extraction Loss,NA1150_SIL_2,Illinois  Natural Gas Plant Liquids Production (Million Cubic Feet),2,MMCF
2022-09,SNM,USA-NM,EPG0,Natural Gas,VG9,Extraction Loss,NA1150_SNM_2,New Mexico Natural Gas Plant Liquids Production (Million Cubic Feet),19696,MMCF
2022-09,SMS,USA-MS,EPG0,Natural Gas,VG9,Extraction Loss,NA1150_SMS_2,Mississippi Natural Gas Plant Liquids Production (Million Cubic Feet),0,MMCF
2022-09,STX,TEXAS,EPG0,Natural Gas,VG9,Extraction Loss,NA1150_STX_2,Texas Natural Gas Plant Liquids Production (Million Cubic Feet),133572,MMCF
2022-09,NUS,U.S.,EPG0,Natural Gas,VG9,Extraction Loss,N9060US2,U.S. Natural Gas Plant Liquids Production (Million Cubic Feet),259765,MMCF
2022-09,SWY,USA-WY,EPG0,Natural Gas,VG9,Extraction Loss,NA1150_SWY_2,Wyoming Natural Gas Plant Liquids Production (Million Cubic Feet),4267,MMCF
2022-09,SOH,OHIO,EPG0,Natural Gas,VG9,Extraction Loss,NA1150_SOH_2,Ohio Natural Gas Plant Liquids Production (Million Cubic Feet),4045,MMCF
2022-09,SMI,USA-MI,EPG0,Natural Gas,VG9,Extraction Loss,NA1150_SMI_2,Michigan Natural Gas Plant Liquids Production (Million Cubic Feet),72,MMCF
2022-09,SAK,USA-AK,EPG0,Natural Gas,VG9,Extraction Loss,NA1150_SAK_2,Alaska Natural Gas Plant Liquids Production (Million Cubic Feet),1869,MMCF
2022-09,R3FM,NA,EPG0,Natural Gas,VG9,Extraction Loss,NGM_EPG0_VG9_R3FM_MMCF,Gulf Of Mexico Natural Gas Plant Liquids Production (Million Cubic Feet),6219,MMCF
2022-09,SFL,FLORIDA,EPG0,Natural Gas,VG9,Extraction Loss,NA1150_SFL_2,Florida  Natural Gas Plant Liquids Production (Million Cubic Feet),12,MMCF
2022-09,SLA,USA-LA,EPG0,Natural Gas,VG9,Extraction Loss,NA1150_SLA_2,Louisiana  Natural Gas Plant Liquids Production (Million Cubic Feet),2244,MMCF
2022-09,SPA,USA-PA,EPG0,Natural Gas,VG9,Extraction Loss,NA1150_SPA_2,Pennsylvania Natural Gas Plant Liquids Production (Million Cubic Feet),8283,MMCF
2022-08,SAK,USA-AK,EPG0,Natural Gas,VG9,Extraction Loss,NA1150_SAK_2,Alaska Natural Gas Plant Liquids Production (Million Cubic Feet),1904,MMCF
2022-08,SCO,COLORADO,EPG0,Natural Gas,VG9,Extraction Loss,NA1150_SCO_2,Colorado Natural Gas Plant Liquids Production (Million Cubic Feet),17615,MMCF
2022-08,SLA,USA-LA,EPG0,Natural Gas,VG9,Extraction Loss,NA1150_SLA_2,Louisiana  Natural Gas Plant Liquids Production (Million Cubic Feet),2286,MMCF
2022-08,SAR,USA-AR,EPG0,Natural Gas,VG9,Extraction Loss,NA1150_SAR_2,Arkansas Natural Gas Plant Liquids Production (Million Cubic Feet),16,MMCF
2022-08,SPA,USA-PA,EPG0,Natural Gas,VG9,Extraction Loss,NA1150_SPA_2,Pennsylvania Natural Gas Plant Liquids Production (Million Cubic Feet),8437,MMCF
2022-08,R3FM,NA,EPG0,Natural Gas,VG9,Extraction Loss,NGM_EPG0_VG9_R3FM_MMCF,Gulf Of Mexico Natural Gas Plant Liquids Production (Million Cubic Feet),6335,MMCF
2022-08,SMI,USA-MI,EPG0,Natural Gas,VG9,Extraction Loss,NA1150_SMI_2,Michigan Natural Gas Plant Liquids Production (Million Cubic Feet),73,MMCF
2022-08,SIL,USA-IL,EPG0,Natural Gas,VG9,Extraction Loss,NA1150_SIL_2,Illinois  Natural Gas Plant Liquids Production (Million Cubic Feet),2,MMCF
2022-08,SOK,USA-OK,EPG0,Natural Gas,VG9,Extraction Loss,NA1150_SOK_2,Oklahoma Natural Gas Plant Liquids Production (Million Cubic Feet),22074,MMCF
2022-08,SCA,CALIFORNIA,EPG0,Natural Gas,VG9,Extraction Loss,NA1150_SCA_2,California Natural Gas Plant Liquids Production (Million Cubic Feet),595,MMCF
2022-08,SND,USA-ND,EPG0,Natural Gas,VG9,Extraction Loss,NA1150_SND_2,North Dakota Natural Gas Plant Liquids Production (Million Cubic Feet),18406,MMCF
2022-08,SKS,USA-KS,EPG0,Natural Gas,VG9,Extraction Loss,NA1150_SKS_2,Kansas Natural Gas Plant Liquids Production (Million Cubic Feet),1187,MMCF
2022-08,NUS,U.S.,EPG0,Natural Gas,VG9,Extraction Loss,N9060US2,U.S. Natural Gas Plant Liquids Production (Million Cubic Feet),264599,MMCF
2022-08,SWY,USA-WY,EPG0,Natural Gas,VG9,Extraction Loss,NA1150_SWY_2,Wyoming Natural Gas Plant Liquids Production (Million Cubic Feet),4347,MMCF
2022-08,SUT,USA-UT,EPG0,Natural Gas,VG9,Extraction Loss,NA1150_SUT_2,Utah Natural Gas Plant Liquids Production (Million Cubic Feet),901,MMCF
2022-08,SAL,USA-AL,EPG0,Natural Gas,VG9,Extraction Loss,NA1150_SAL_2,Alabama Natural Gas Plant Liquids Production (Million Cubic Feet),170,MMCF
2022-08,SFL,FLORIDA,EPG0,Natural Gas,VG9,Extraction Loss,NA1150_SFL_2,Florida  Natural Gas Plant Liquids Production (Million Cubic Feet),12,MMCF
2022-08,SMS,USA-MS,EPG0,Natural Gas,VG9,Extraction Loss,NA1150_SMS_2,Mississippi Natural Gas Plant Liquids Production (Million Cubic Feet),0,MMCF
2022-08,SWV,USA-WV,EPG0,Natural Gas,VG9,Extraction Loss,NA1150_SWV_2,West Virginia Natural Gas Plant Liquids Production (Million Cubic Feet),19439,MMCF
2022-08,SOH,OHIO,EPG0,Natural Gas,VG9,Extraction Loss,NA1150_SOH_2,Ohio Natural Gas Plant Liquids Production (Million Cubic Feet),4121,MMCF
2022-08,SNM,USA-NM,EPG0,Natural Gas,VG9,Extraction Loss,NA1150_SNM_2,New Mexico Natural Gas Plant Liquids Production (Million Cubic Feet),20062,MMCF
