"Year","Report<BR>State","Plant Name","Owner Company","Operator Company","County Name","Zipcode","Plant Capacity","Plant Flow","BTU Content","Dry Gas Storage Capacity","NG Liquid Storage Capacity"
"2017","OK","Chester Plant","Targa","Targa","Major","73838","30","","1102","",""
"2017","OK","Chisholm Plant","EnLink Midstream Services, LLC","EnLink Midstream Services, LLC","Kingfisher","73750","560","390","1250","","14156"
"2017","OK","Chitwood Plant","DCP Operating Company, LP","DCP Operating Company, LP","Grady","73067","90","70","1250","","4000"
"2017","OK","Cimarron Gas Plant","DCP Operating Company, LP","DCP Operating Company, LP","Woodward","73663","65","55","1100","","2388"
"2017","OK","Coalgate Plant","Enable Midstream Partners","Enable Midstream Partners","Coal","74538","13","4","1106","","714"
"2017","OK","Coalgate Stonewall Gas Plant","Targa Resources","Targa Resources","Coal","74538","280","258","1200","",""
"2017","OK","Crescent Plant","ETC Field Services LLC","ETC Field Services LLC","Logan","73028","40","36","1200","","1800"
"2017","OK","Custer Natural Gas Processing","ONEOK","ONEOK","Custer","73639","80","80","1120","","715"
"2017","OK","Dover-Hennessey Gas Plant","Mustang Ventures Company","Mustang Gas Products, LLC","Kingfisher","73742","80","42","1185","","1150"
"2017","OK","Dry Trail","Breitburn Operating LP","Breitburn Operating LP","Texas","73942","100","93","1007","","1710"
"2017","OK","Elmore City Gas Plant","Cimarex Energy Co.","","Garvin","73433-9163","26","11","1303","","106"
"2017","OK","Fox Plant","DCP Operating Company, LP","DCP Operating Company, LP","Carter","73438","24","18","1050","","1450"
"2017","OK","Glenpool (Creek) Plant","Kinder Morgan (Scissortail Energy LLC)","Kinder Morgan (Scissortail Energy LLC)","Jenks","74033","25","4","1146","","1500"
"2017","OK","Harrah Plant","Kinder Morgan (Scissortail Energy LLC)","Kinder Morgan (Scissortail Energy LLC)","Lincoln","73045","40","32","1250","","29525"
"2017","OK","Hopeton","SenGas, LP","SemGas, LP","Woods","73731","140","80","1158","",""
"2017","OK","Kingfisher","DCP Operating Company, LP","DCP Operating Company, LP","Kingfisher","73016","170","115","1200","","3600"
"2017","OK","Kingfisher Midstream, LLC","Alta Mesa Holdings, LP","Kingfisher Midstream, LLC","Kingfisher","73734-3513","60","54","1244","",""
"2017","OK","Leedey Natural Gas Processing","ONEOK","ONEOK","Roger Mills","73654-9311","50","20","1180","","2857"
"2017","OK","MADILL GAS PLANT","MADILL GAS PROCESSING COMPANY, LLC","CARRERA OPERATING COMPANY","MARSHALL","73446","50","40","1200","","3800"
"2017","OK","MCCLURE","ENABLE PRODUCTS LLC","ENABLE PRODUCTS LLC","CUSTER","73625","215","200","1111","","2620"
"2017","OK","Matli Plant","Kinder Morgan","Kinder Morgan","Blaine","73772","25","5","1140","","914"
"2017","OK","Maysville Natural Gas Processing","ONEOK","ONEOK","Garvin","73057-0846","140","138","1313","","8600"
"2017","OK","Mehan Gas Plant","Tag Petroleum Inc","Tag Petroleum Inc","Payne","74076-1389","1.5","0.65","1250","0","714"
"2017","OK","Milfay Plant","Kinder Morgan (Scissortail Energy LLC)","Kinder Morgan (Scissortail Energy LLC)","Creek","74079","15","6","1169","","950"
"2017","OK","Minco Plant","Superior Pipeline Company LLC","Superior Pipeline Company LLC","Grady","73089","18","6.7","1190","0","700"
"2017","OK","Mocane Station","ETC Field Services LLC","ETC Field Services LLC","Beaver","73932","55","29","1200","","714"
"2017","OK","Mooreland Plant","DCP Operating Company, LP","DCP Operating Company, LP","Woodward","73852","130","80","1180","","4117"
"2017","OK","Mustang","DCP Operating Company, LP","DCP Operating Company, LP","Grady","73089","34","25","1160","","1100"
"2017","OK","Nash","SemGas, LP","SemGas, LP","Grant","73761-5073","40","","","",""
"2017","OK","Nine Mile Gas Plant","Enbridge G&P (Oklahoma), L.P.","Enbridge G&P (Oklahoma), L.P.","Dewey","73654-9712","30","30","1143","",""
"2017","OK","Northridge Plant","","Enlink Midstream Services, LLC","Hughes","74531","200","56","1134","","5714"
